symbol,date,price
NYMEX Oil Price,May 2007,64.01
NYMEX Oil Price,Jun 2007,70.68
NYMEX Oil Price,Jul 2007,78.21
NYMEX Oil Price,Aug 2007,74.04
NYMEX Oil Price,Sep 2007,81.63
NYMEX Oil Price,Oct 2007,94.53
NYMEX Oil Price,Nov 2007,90.46
NYMEX Oil Price,Dec 2007,95.98
NYMEX Oil Price,Jan 2008,91.75
NYMEX Oil Price,Feb 2008,102
NYMEX Oil Price,Mar 2008,101.58
NYMEX Oil Price,Apr 2008,114.57
NYMEX Oil Price,May 2008,127.42
NYMEX Oil Price,Jun 2008,140.29
NYMEX Oil Price,Jul 2008,124.43
NYMEX Oil Price,Aug 2008,115.6
NYMEX Oil Price,Sep 2008,100.64
NYMEX Oil Price,Oct 2008,67.81
NYMEX Oil Price,Nov 2008,54.43
NYMEX Oil Price,Dec 2008,42.66
NYMEX Oil Price,Jan 2009,41.75
NYMEX Oil Price,Feb 2009,44.12
NYMEX Oil Price,Mar 2009,48.84
NYMEX Oil Price,Apr 2009,51.12
NYMEX Oil Price,May 2009,66.64
NYMEX Oil Price,Jun 2009,70.6
NYMEX Oil Price,Jul 2009,69.5
NYMEX Oil Price,Aug 2009,69.59
NYMEX Oil Price,Sep 2009,70.4
NYMEX Oil Price,Oct 2009,76.99
NYMEX Oil Price,Nov 2009,77.28
NYMEX Oil Price,Dec 2009,79.36
NYMEX Oil Price,Jan 2010,73.21
NYMEX Oil Price,Feb 2010,79.73
NYMEX Oil Price,Mar 2010,83.76
NYMEX Oil Price,Apr 2010,86.15
NYMEX Oil Price,May 2010,74.44
NYMEX Oil Price,Jun 2010,75.63
NYMEX Oil Price,Jul 2010,78.95
NYMEX Oil Price,Aug 2010,71.68
NYMEX Oil Price,Sep 2010,79.77
NYMEX Oil Price,Oct 2010,81.45
NYMEX Oil Price,Nov 2010,83.99
NYMEX Oil Price,Dec 2010,91.38
NYMEX Oil Price,Jan 2011,92.22
NYMEX Oil Price,Feb 2011,97.85
NYMEX Oil Price,Mar 2011,106.72
NYMEX Oil Price,Apr 2011,113.73
NYMEX Oil Price,May 2011,102.6
NYMEX Oil Price,Jun 2011,95.11
NYMEX Oil Price,Jul 2011,95.86
NYMEX Oil Price,Aug 2011,88.94
NYMEX Oil Price,Sep 2011,81.09
NYMEX Oil Price,Oct 2011,92.57
NYMEX Oil Price,Nov 2011,100.35
NYMEX Oil Price,Dec 2011,99.06
NYMEX Oil Price,Jan 2012,98.99
NYMEX Oil Price,Feb 2012,106.91
NYMEX Oil Price,Mar 2012,102.93
NYMEX Oil Price,Apr 2012,104.89
NYMEX Oil Price,May 2012,87.01
NYMEX Oil Price,Jun 2012,84.87
NYMEX Oil Price,Jul 2012,87.96
NYMEX Oil Price,Aug 2012,96.56
NYMEX Oil Price,Sep 2012,92.1
NYMEX Oil Price,Oct 2012,86.01
NYMEX Oil Price,Nov 2012,88.74
NYMEX Oil Price,Dec 2012,91.79
NYMEX Oil Price,Jan 2013,97.41
NYMEX Oil Price,Feb 2013,91.83
NYMEX Oil Price,Mar 2013,97.23
NYMEX Oil Price,Apr 2013,93.13
NYMEX Oil Price,May 2013,92.75
NYMEX Oil Price,Jun 2013,96.49
NYMEX Oil Price,Jul 2013,104.36
NYMEX Oil Price,Aug 2013,107.76
NYMEX Oil Price,Sep 2013,102.29
NYMEX Oil Price,Oct 2013,96.24
NYMEX Oil Price,Nov 2013,92.78
NYMEX Oil Price,Dec 2013,98.7
NYMEX Oil Price,Jan 2014,97.46
NYMEX Oil Price,Feb 2014,102.53
NYMEX Oil Price,Mar 2014,101.79
NYMEX Oil Price,Apr 2014,99.69
NYMEX Oil Price,May 2014,102.93
NYMEX Oil Price,Jun 2014,105.51
NYMEX Oil Price,Jul 2014,97.65
NYMEX Oil Price,Aug 2014,95.84
NYMEX Oil Price,Sep 2014,91.32
