id,Location,AQI,Grade,Pollutant,Airquality,Year_Month,Day
256,怀柔镇,123,III,细颗粒物,轻度污染,2013-1,26
257,西直门北大街,176,IV,细颗粒物,中度污染,2013-1,26
258,南三环西路,215,V,细颗粒物,重度污染,2013-1,26
259,京东北密云水库,82,II,细颗粒物,良,2013-1,26
260,东城东四,312,VI,细颗粒物,重度污染,2013-1,27
261,西城万寿西宫,303,VI,细颗粒物,重度污染,2013-1,27
262,朝阳奥体中心,321,VI,细颗粒物,重度污染,2013-1,27
263,海淀北京植物园,295,V,细颗粒物,重度污染,2013-1,27
264,丰台花园,323,VI,细颗粒物,重度污染,2013-1,27
265,通州新城,295,V,细颗粒物,重度污染,2013-1,27
266,怀柔镇,252,V,细颗粒物,重度污染,2013-1,27
267,西直门北大街,324,VI,细颗粒物,重度污染,2013-1,27
268,南三环西路,325,VI,细颗粒物,重度污染,2013-1,27
269,京东北密云水库,183,IV,细颗粒物,中度污染,2013-1,27
270,东城东四,403,VI,细颗粒物,重度污染,2013-1,28
271,西城万寿西宫,390,VI,细颗粒物,重度污染,2013-1,28
272,朝阳奥体中心,396,VI,细颗粒物,重度污染,2013-1,28
273,海淀北京植物园,382,VI,细颗粒物,重度污染,2013-1,28
274,丰台花园,383,VI,细颗粒物,重度污染,2013-1,28
275,通州新城,392,VI,细颗粒物,重度污染,2013-1,28
276,怀柔镇,342,VI,细颗粒物,重度污染,2013-1,28
277,西直门北大街,413,VI,细颗粒物,重度污染,2013-1,28
278,南三环西路,405,VI,细颗粒物,重度污染,2013-1,28
279,京东北密云水库,293,V,细颗粒物,重度污染,2013-1,28
280,东城东四,419,VI,细颗粒物,重度污染,2013-1,29
281,西城万寿西宫,385,VI,细颗粒物,重度污染,2013-1,29
282,朝阳奥体中心,440,VI,细颗粒物,重度污染,2013-1,29
283,海淀北京植物园,411,VI,细颗粒物,重度污染,2013-1,29
284,丰台花园,380,VI,细颗粒物,重度污染,2013-1,29
285,通州新城,371,VI,细颗粒物,重度污染,2013-1,29
286,怀柔镇,413,VI,细颗粒物,重度污染,2013-1,29
287,西直门北大街,447,VI,细颗粒物,重度污染,2013-1,29
288,南三环西路,417,VI,细颗粒物,重度污染,2013-1,29
289,京东北密云水库,327,VI,细颗粒物,重度污染,2013-1,29
290,东城东四,274,V,细颗粒物,重度污染,2013-1,30
291,西城万寿西宫,265,V,细颗粒物,重度污染,2013-1,30
292,朝阳奥体中心,319,VI,细颗粒物,重度污染,2013-1,30
293,海淀北京植物园,297,V,细颗粒物,重度污染,2013-1,30
294,丰台花园,282,V,细颗粒物,重度污染,2013-1,30
295,通州新城,299,V,细颗粒物,重度污染,2013-1,30
296,怀柔镇,298,V,细颗粒物,重度污染,2013-1,30
297,西直门北大街,297,V,细颗粒物,重度污染,2013-1,30
298,南三环西路,284,V,细颗粒物,重度污染,2013-1,30
299,京东北密云水库,235,V,细颗粒物,重度污染,2013-1,30
300,东城东四,178,IV,细颗粒物,中度污染,2013-1,31
301,西城万寿西宫,179,IV,细颗粒物,中度污染,2013-1,31
302,朝阳奥体中心,196,IV,细颗粒物,中度污染,2013-1,31
303,海淀北京植物园,143,III,细颗粒物,轻度污染,2013-1,31
304,丰台花园,195,IV,细颗粒物,中度污染,2013-1,31
305,通州新城,242,V,细颗粒物,重度污染,2013-1,31
306,怀柔镇,168,IV,细颗粒物,中度污染,2013-1,31
307,西直门北大街,201,V,细颗粒物,重度污染,2013-1,31
308,南三环西路,198,IV,细颗粒物,中度污染,2013-1,31
309,京东北密云水库,112,III,细颗粒物,轻度污染,2013-1,31
310,东城东四,54,II,二氧化氮,良,2013-2,1
311,西城万寿西宫,49,I,-,优,2013-2,1
312,朝阳奥体中心,47,I,-,优,2013-2,1
313,海淀北京植物园,42,I,-,优,2013-2,1
314,丰台花园,59,II,二氧化氮,良,2013-2,1
315,通州新城,43,I,-,优,2013-2,1
316,怀柔镇,70,II,一氧化碳,良,2013-2,1
317,西直门北大街,60,II,二氧化氮,良,2013-2,1
318,南三环西路,62,II,二氧化氮,良,2013-2,1
319,京东北密云水库,39,I,-,优,2013-2,1
320,东城东四,78,II,二氧化氮,良,2013-2,2
321,西城万寿西宫,73,II,二氧化氮,良,2013-2,2
322,朝阳奥体中心,83,II,二氧化氮,良,2013-2,2
323,海淀北京植物园,73,II,二氧化氮,良,2013-2,2
324,丰台花园,85,II,二氧化氮,良,2013-2,2
325,通州新城,73,II,细颗粒物,良,2013-2,2
326,怀柔镇,73,II,二氧化氮,良,2013-2,2
327,西直门北大街,80,II,二氧化氮,良,2013-2,2
328,南三环西路,90,II,二氧化氮,良,2013-2,2
329,京东北密云水库,38,I,-,优,2013-2,2
330,东城东四,223,V,细颗粒物,重度污染,2013-2,3
331,西城万寿西宫,219,V,细颗粒物,重度污染,2013-2,3
332,朝阳奥体中心,219,V,细颗粒物,重度污染,2013-2,3
333,海淀北京植物园,188,IV,细颗粒物,中度污染,2013-2,3
334,丰台花园,208,V,细颗粒物,重度污染,2013-2,3
335,通州新城,217,V,细颗粒物,重度污染,2013-2,3
336,怀柔镇,163,IV,细颗粒物,中度污染,2013-2,3
337,西直门北大街,220,V,细颗粒物,重度污染,2013-2,3
338,南三环西路,220,V,细颗粒物,重度污染,2013-2,3
339,京东北密云水库,137,III,细颗粒物,轻度污染,2013-2,3
340,东城东四,62,II,二氧化氮,良,2013-2,4
341,西城万寿西宫,54,II,二氧化氮,良,2013-2,4
342,朝阳奥体中心,64,II,二氧化氮,良,2013-2,4
343,海淀北京植物园,39,I,-,优,2013-2,4
344,丰台花园,68,II,二氧化氮,良,2013-2,4
345,通州新城,65,II,细颗粒物,良,2013-2,4
346,怀柔镇,48,I,-,优,2013-2,4
347,西直门北大街,70,II,二氧化氮,良,2013-2,4
348,南三环西路,79,II,二氧化氮,良,2013-2,4
349,京东北密云水库,41,I,-,优,2013-2,4
350,东城东四,110,III,细颗粒物,轻度污染,2013-2,5
351,西城万寿西宫,103,III,细颗粒物,轻度污染,2013-2,5
352,朝阳奥体中心,113,III,细颗粒物,轻度污染,2013-2,5
353,海淀北京植物园,115,III,细颗粒物,轻度污染,2013-2,5
354,丰台花园,99,II,细颗粒物,良,2013-2,5
355,通州新城,93,II,细颗粒物,良,2013-2,5
356,怀柔镇,132,III,细颗粒物,轻度污染,2013-2,5
